timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1556035953990,63,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-10,text,true,,28382,993,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,63,0,0
1556035954028,26,List Products with different page,200,,Thread-Gruppe 1-1,text,true,,100937,897,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=3&page=4,25,0,0
1556035954005,59,Add Product 2 to Cart,200,,Thread-Gruppe 1-6,text,true,,26725,1981,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,11,0,0
1556035954005,11,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-6,,true,,1002,989,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,11,0,0
1556035954016,48,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-6,text,true,,25723,992,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,48,0,0
1556035954049,18,Home,200,,Thread-Gruppe 1-2,text,true,,8822,147,10,10,http://localhost:30080/tools.descartes.teastore.webui/,18,0,0
1556035954031,37,List Products,200,,Thread-Gruppe 1-9,text,true,,142387,770,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=4&page=1,35,0,0
1556035954047,24,List Products with different page,200,,Thread-Gruppe 1-8,text,true,,145874,897,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=4&page=3,22,0,0
1556035954064,12,Logout,200,,Thread-Gruppe 1-6,text,true,,10479,1825,10,10,http://localhost:30080/tools.descartes.teastore.webui/,3,0,0
1556035954064,3,Logout-0,302,,Thread-Gruppe 1-6,,true,,1344,1090,10,10,http://localhost:30080/tools.descartes.teastore.webui/loginAction,3,0,0
1556035954068,8,Logout-1,200,,Thread-Gruppe 1-6,text,true,,9135,735,10,10,http://localhost:30080/tools.descartes.teastore.webui/,8,0,0
